fen	depth	best	total_nodes	root_nodes	best_nodes	share_pct
r1b2q1k/pp6/2nbp1Q1/3p1r2/3P4/P1N1PN2/1P3PPP/1K1R3R w - - 1 21	12	f3g5	267810	267795	69626	26
r2q1rk1/pp1bbp1p/5p2/8/Qn1P4/4P1N1/PP1B2PP/R3KB1R w KQ - 2 15	12	a4b3	194523	194499	83634	43
r1bq1rk1/ppp2p1p/2n1p3/3p4/2PPn1p1/PQ1BP3/1P1N1PPP/R1B1K2R b KQ - 1 11	12	d8h4	426715	426696	51203	12
r1b1r1k1/1pq4p/p2p1np1/2p1n3/P1P1P1P1/4B2P/1PQ1N1B1/1K1R1R2 b - - 1 22	12	f6d7	204412	204389	102194	50
2r2rk1/pp4bp/nqppb3/8/2PP1pp1/2NBP3/PP1B2PP/RQ3RK1 w - - 0 19	12	c3a4	328947	328925	131570	40
rn1q1rk1/p3bppp/bp2p3/4N3/3Pn3/1Q4P1/PP1B1PBP/R3K2R w KQ - 0 13	12	g2e4	188007	187983	122188	65
r3kb1r/pp3ppp/1qB3b1/2n5/8/1Q2PNN1/PP1B2PP/2R2RK1 b kq - 0 16	12	b7c6	206500	206480	121823	59
r2q1rk1/1b1n1ppp/p3pn2/2p5/PpN1Pb2/3P1NP1/1PQ2PBP/R4RK1 w - - 0 15	12	g3f4	83888	83866	64576	77
r2qr1k1/ppp2ppp/2nN1n2/3p4/3P2b1/3BP3/PP1BNPPP/R2Q1RK1 b - - 0 11	12	d8d6	70723	70706	43130	61
r1bq1rk1/pp2bppp/n4n2/3p4/3Pp3/1QN1PP2/PP1BN1PP/R3KB1R w KQ - 1 10	12	e2f4	235089	235069	171600	73
r3kb1r/pp3ppp/1qn2nb1/1B6/8/1Q2PNN1/PP1B2PP/2R1K2R b Kkq - 4 14	12	f8d6	104601	104579	16732	16
r2qk2r/pp1nbppn/2p1p2p/3pPb2/3P4/5NPP/PPPN1PB1/R1BQR1K1 w kq - 1 11	12	a2a3	443740	443722	110930	25
r3r1k1/3n1ppp/pqb2n2/2b1p3/2P1P3/1P3N1P/1BB1Q1P1/1N1R1R1K b - - 0 24	12	a6a5	128422	128395	71901	56
8/4k2P/8/5p2/6p1/P7/6PK/8 b - - 0 55	12	e7e6	101286	101254	35438	35
8/8/8/5pk1/8/6K1/8/8 b - - 3 82	12	f5f4	9180	9165	7973	87
8/7p/8/6pk/4Kp2/8/6P1/8 b - - 1 48	12	h5g4	16416	16396	11969	73
8/8/8/5k2/8/5K1p/8/8 b - - 1 79	12	f5f6	2463	2446	1076	44
8/8/1PK5/2N5/4k3/8/8/8 b - - 2 77	12	e4e5	78326	78304	68124	87
8/8/Pk6/8/8/3pp3/4n3/5K2 b - - 1 55	12	b6a6	12933	12902	8257	64
8/1k6/pP6/3Kn3/8/8/8/8 b - - 7 94	12	e5c6	22584	22562	9250	41
8/4K3/8/2P5/8/2k2b2/8/8 w - - 7 161	12	c5c6	5325	5306	4510	85
