# S097 verdict 2 candidates for the mate row that separates
# E21_multicut_mate_band_gate_dropped.
# Regenerate: adocs/data/S097_mine_mate_row.py candidates /
# fires / sweep / pick.
# distance, pv and nodes are stockfish through python-chess, one
# fresh process per position; depths_found is the engine's own
# search_fen() profile over the swept range.
fen	mate_in	nodes	pv_uci	pv_san	depths_found
r4k2/p1n2Np1/2p1P1Q1/1p1p2p1/1P1N4/P7/2P2RP1/6K1 w - - 1 33	3	5026	f7g5 f8e7 g6g7 e7d6 d4f5	Nxg5+ Ke7 Qxg7+ Kd6 Nf5#	
r4r2/pp3pk1/2p3pp/4P2N/P1B5/5b1q/1P1Q1P2/R3R1K1 b - - 9 28	3	2631	h3h5 d2h6 g7h6 c4e2 h5h1	Qxh5 Qxh6+ Kxh6 Be2 Qh1#	
r4rk1/7p/p1Nppp1B/1p6/2p1P1b1/P5Q1/1P3PP1/3R2K1 w - - 2 30	3	3118	g3g4 g8f7 g4g7 f7e8 g7e7	Qxg4+ Kf7 Qg7+ Ke8 Qe7#	
r4rk1/pp3p2/3bn2R/3p1QpN/4p3/P7/2BN2PK/R7 w - - 1 28	3	23295	h2h1 f8c8 f5f6 c8c2 h6h8	Kh1 Rfc8 Qf6 Rxc2 Rh8#	
r5kr/1p1b4/p2QpBB1/8/3P3P/2P5/6K1/1R6 w - - 3 38	3	6769	d6d7 h8h7 g6h7 g8f8 f6g7	Qxd7 Rh7 Bxh7+ Kf8 Bg7#	
r5rk/1pB4p/p3BRpP/2P5/3p4/8/P5PK/5R2 w - - 1 31	3	4718	c7e5 g8g7 f6f8 a8f8 h6g7	Be5 Rg7 Rf8+ Rxf8 hxg7#	
rr5k/2n3Rp/8/p5N1/P7/1pQ2p2/5PKP/4R3 w - - 0 32	3	3211	g2f1 b8f8 g7h7 h8g8 c3g7	Kf1 Rf8 Rxh7+ Kg8 Qg7#	
1Q2R3/6k1/2pp1p1p/6p1/1p6/3K3P/1PP2q2/r7 b - - 7 49	4	6531	a1d1 d3c4 f2c2 c4b4 c2b2 b4a4 d1a1	Rd1+ Kc4 Qxc2+ Kxb4 Qxb2+ Ka4 Ra1#	
1Q3b1k/5R1p/1p1q4/1P1Bp1p1/8/6P1/6KP/8 w - - 3 36	4	6803	f7f8 h8g7 b8d6 h7h5 f8f7 g7g8 d6d8	Rxf8+ Kg7 Qxd6 h5 Rf7+ Kg8 Qd8#	
1R3r2/4Q3/6kp/6p1/4P3/2p2P1P/6PK/2q5 w - - 3 49	4	5644	b8b6 f8f6 e7f6 g6h7 f6f7 h7h8 b6h6	Rb6+ Rf6 Qxf6+ Kh7 Qf7+ Kh8 Rxh6#	
1R4k1/5pp1/8/3P4/4p2P/5pP1/4rP2/r3NK2 b - - 2 45	4	1625	g8h7 b8h8 h7h8 f1g1 e2e1 g1h2 e1h1	Kh7 Rh8+ Kxh8 Kg1 Rexe1+ Kh2 Rh1#	
1R6/p5kp/6p1/3p1q2/N3p3/P3n1P1/1P5P/R5K1 b - - 2 31	4	5852	f5f3 b8b7 g7h6 b7h7 h6h7 b2b3 f3g2	Qf3 Rb7+ Kh6 Rxh7+ Kxh7 b3 Qg2#	
