# S230 candidates for the capture mate row that separates R01.
# Regenerate: adocs/data/S230_mine_r01_row.py pool / label / line / join.
# distance, pv and nodes are stockfish through python-chess, one
# fresh process per position; depths_found is the engine's own
# search_fen() profile over the swept range.
fen	mate_in	nodes	pv_uci	pv_san	captures_on_line	depths_found
r4rk1/p3np2/7B/7Q/6b1/P1K1p3/4B1RP/1R6 w - - 1 27	4	15640	g2g4 e7g6 g4g6 f7g6 h5g6 g8h8 g6g7	Rxg4+ Ng6 Rxg6+ fxg6 Qxg6+ Kh8 Qg7#	Rxg4+ Rxg6+ Qxg6+	d7 d8 d9 d10 d11 d12
r5k1/2R2p2/4p3/2n1P1NQ/4q3/6P1/5PK1/8 w - - 2 52	4	5452	g5e4 c5d7 c7d7 a8a7 h5f7 g8h8 f7h7	Nxe4 Nd7 Rxd7 Ra7 Qxf7+ Kh8 Qh7#	Qxf7+	d7 d8 d9 d10 d11 d12
r7/3p2kp/4p1p1/2p5/p1N1PQ2/P7/B1P3K1/5R2 w - - 0 34	4	21002	f4f7 g7h8 f1h1 h7h5 f7g6 a8g8 h1h5	Qf7+ Kh8 Rh1 h5 Qxg6 Rg8 Rxh5#	Rxh5#	d9 d10 d11 d12
rn3r2/pp4k1/2p5/7Q/8/7P/P1qN1P2/4R1K1 w - - 0 27	4	7912	e1e7 f8f7 h5f7 g7h6 e7e6 h6g5 d2f3	Re7+ Rf7 Qxf7+ Kh6 Re6+ Kg5 Nf3#	Qxf7+	d7 d8 d9 d10 d11 d12
rqb2k2/1pr5/4p1Q1/1P2N1pp/2R2n2/P3P3/KB5P/5R2 w - - 10 34	5	34714	c4f4 g5f4 f1f4 f8e7 g6g5 e7d6 f4d4 d6c5 e5d7	Rcxf4+ gxf4 Rxf4+ Ke7 Qg5+ Kd6 Rd4+ Kc5 Nd7#	Rcxf4+ Rxf4+	d7 d9 d10 d11 d12
1r5k/2p3pp/3pQ3/1P1P4/2q5/4K3/r4P1P/3R1R2 b - - 7 36	5	13313	a2a3 e3d2 a3d3 d2e1 c4c3 e1e2 c3c2 e2e1 c2d1	Ra3+ Kd2 Rd3+ Ke1 Qc3+ Ke2 Qc2+ Ke1 Qxd1#	Qxd1#	d7 d8 d9 d10 d11 d12
1rr3k1/5p1Q/p7/q2ppbPp/3P4/P3RP2/2P4P/2K3NR b - - 0 25	5	14901	f5h7 g5g6 h7g6 e3e4 a5e1 e4e1 c8c2 c1d1 b8b1	Bxh7 g6 Bxg6 Re4 Qe1+ Rxe1 Rxc2+ Kd1 Rb1#	Rxc2+	d9 d10 d11 d12
2b3nQ/5kP1/p1p1p3/2bpB3/4p1p1/1P6/2P2PP1/1K1R4 w - - 0 27	5	1540187	h8g8 f7g8 d1h1 c5f2 h1h8 g8f7 g7g8r f7e7 g8g7	Qxg8+ Kxg8 Rh1 Bxf2 Rh8+ Kf7 g8=R Ke7 Rg7#	Qxg8+	d11 d12
2b5/4k2P/2Bp1r2/Q3p3/ppp4q/P1P5/1P4P1/3R2K1 w - - 2 55	5	6832	a5c7 c8d7 c7d7 e7f8 d7e8 f8g7 e8g8 g7h6 h7h8q	Qc7+ Bd7 Qxd7+ Kf8 Qe8+ Kg7 Qg8+ Kh6 h8=Q#	Qxd7+	d7 d9 d10 d11 d12
2r4k/1p5B/p3pQ1p/P2pb3/1P3q1P/5P2/4bP2/1N4K1 b - - 1 26	5	8538	f4f6 b1d2 f6g7 h7g6 g7g6 g1h1 c8c1 d2f1 c1f1	Qxf6 Nd2 Qg7+ Bg6 Qxg6+ Kh1 Rc1+ Nf1 Rxf1#	Qxg6+ Rxf1#	d9 d10 d11 d12
2r5/1p3R2/p5pk/3PQ3/1P5K/P7/6q1/8 b - - 0 65	5	6863	c8c4 f7f4 g6g5 e5g5 g2g5 h4h3 c4f4 b4b5 f4h4	Rc4+ Rf4 g5+ Qxg5+ Qxg5+ Kh3 Rxf4 b5 Rh4#	Qxg5+	d11 d12
3krb1r/Np2pppp/3q1n2/8/Q4Bb1/2P3P1/P3NPBP/3RR1K1 w - - 3 18	5	17073	a4a5 d8d7 a5b5 d7d8 b5b6 d8d7 b6b7 d7e6 e2d4	Qa5+ Kd7 Qb5+ Kd8 Qb6+ Kd7 Qxb7+ Ke6 Nd4#	Qxb7+	d7 d9 d10 d11 d12
4bq2/7k/4P1p1/p5Q1/P1pB1P1p/7P/6P1/6K1 w - - 3 46	5	4930	g5h4 f8h6 h4e7 h7g8 e7e8 h6f8 e8g6 f8g7 g6g7	Qxh4+ Qh6 Qe7+ Kg8 Qxe8+ Qf8 Qxg6+ Qg7 Qxg7#	Qxh4+ Qxe8+ Qxg6+ Qxg7#	d7 d8 d9 d10 d11 d12
4k3/pp3qb1/2p5/2Q1p3/1P6/P1PrBb1p/6RP/6K1 b - - 1 37	5	10902	f3g2 c5e7 f7e7 g1f2 e7f6 e3f4 f6f4 f2e1 f4f1	Bxg2 Qe7+ Qxe7 Kf2 Qf6+ Bf4 Qxf4+ Ke1 Qf1#	Qxf4+	d9 d10 d11 d12
5Q2/7p/1R3pk1/6p1/2p1P1P1/K1P3b1/5r2/6n1 w - - 21 63	5	7837	f8e8 g6h6 e8h5 h6g7 b6b7 g3c7 b7c7 g7f8 h5f7	Qe8+ Kh6 Qh5+ Kg7 Rb7+ Bc7 Rxc7+ Kf8 Qf7#	Rxc7+	d9 d10 d11 d12
5k2/3R3p/p7/5N1R/1P2K3/5r1P/5r2/8 w - - 7 49	5	8071	d7d8 f8f7 h5h7 f7f6 d8f8 f6g5 h7g7 g5h5 f8h8	Rd8+ Kf7 Rxh7+ Kf6 Rf8+ Kg5 Rg7+ Kh5 Rh8#	Rxh7+	d9 d10 d11 d12
5k2/4R1R1/p7/2n4p/3B4/7P/2n2P1K/4r3 w - - 5 47	5	6736	e7f7 f8e8 d4c5 e1e7 f7e7 e8f8 e7f7 f8e8 f7f8	Ref7+ Ke8 Bxc5 Re7 Rxe7+ Kf8 Ref7+ Ke8 Rf8#	Rxe7+	d9 d10 d11 d12
5r1k/8/pQ6/1p2R1B1/6P1/2P4P/1P3P1K/1q6 w - - 1 39	5	7872	g5f6 h8g8 e5g5 g8h7 b6c7 f8f7 c7f7 h7h6 f7g7	Bf6+ Kg8 Rg5+ Kh7 Qc7+ Rf7 Qxf7+ Kh6 Qg7#	Qxf7+	d9 d10 d11 d12
6k1/3R4/P6p/5pp1/3p2P1/3K1P2/8/4b3 w - - 3 48	5	23241	a6a7 e1b4 a7a8q b4f8 a8e8 f5g4 e8f7 g8h8 f7f8	a7 Bb4 a8=Q+ Bf8 Qe8 fxg4 Qf7+ Kh8 Qxf8#	Qxf8#	d12
6k1/3r2b1/4p3/2P5/2P5/P5KP/3p1PP1/8 b - - 1 39	6	27060	d2d1q h3h4 g7e5 f2f4 d7d3 g3h2 e5d4 g2g3 d1g1 h2h3 g1g3	d1=Q h4 Be5+ f4 Rd3+ Kh2 Bd4 g3 Qg1+ Kh3 Qxg3#	Qxg3#	d9 d11 d12
6k1/p6r/Q1p1q1p1/2P5/P2pN3/3PbKP1/8/4R3 b - - 6 40	5	9438	e6f5 f3g2 f5h3 g2f3 h7f7 e4f6 f7f6 f3e4 h3f5	Qf5+ Kg2 Qh3+ Kf3 Rf7+ Nf6+ Rxf6+ Ke4 Qf5#	Rxf6+	d9 d10 d11 d12
